Ciudad,Tienda,Division,Genero,Edad,Deporte,Referencia,nombre,Talla,Inventario,precio Antes,%DCTO,Precio Ahora,Imagen
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE0724,CUTLINE TP CUFF,XL,2,$349950,0 %,$349950,https://i.postimg.cc/JnqLSqC5/KE0724.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE0735,F50 TT,L,2,$499950,0 %,$499950,https://i.postimg.cc/SsrhHrbG/KE0735.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE0735,F50 TT,M,2,$499950,0 %,$499950,https://i.postimg.cc/SsrhHrbG/KE0735.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE0735,F50 TT,S,2,$499950,0 %,$499950,https://i.postimg.cc/SsrhHrbG/KE0735.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE0735,F50 TT,XL,2,$499950,0 %,$499950,https://i.postimg.cc/SsrhHrbG/KE0735.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE0901,TREFOIL T-SHIRT,S,2,$139950,0 %,$139950,https://i.postimg.cc/zBvqqcFF/KE0901.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE1136,ESS W TEE,S,2,$149950,0 %,$149950,https://i.postimg.cc/G3J9VSDF/KE1136.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE1195,TREFOIL ESS TEE,S,2,$139950,0 %,$139950,https://i.postimg.cc/4326dPyY/KE1195.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,FOOTBALL,KE2037,MASCOT TEE PIQ,S,2,$169950,0 %,$169950,https://i.postimg.cc/RF1tMG5s/KE2037.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,FOOTBALL,KE2037,MASCOT TEE PIQ,XL,2,$169950,0 %,$169950,https://i.postimg.cc/RF1tMG5s/KE2037.jpg
